Variable Name,Friendly Name,Category,Subcategory,Definition,Data Type,Example Value,Allowed Values,Required,Tealium Variable Type,Tealium Variable Name,AWS Field Name,Sent to AWS,Contains PII,PII Classification,Source System,Owner,Status,Business Criticality,Journey,Schema Version,Deprecated Replacement,Notes,Date Added,Last Updated
product_name,Product Name,Product,Product,Human-readable name of the product associated with the event.,Array,,,False,UDO Variable,product_name,product_name,Yes,No,,Website / App,Digital Analytics,Active,High,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-11
product_id,Product ID,Product,Product,Identifier of the product associated with the event.,Array,,,False,UDO Variable,product_id,product_id,Yes,No,,Website / App,Digital Analytics,Draft,High,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-11
product_brand,Product Brand,Product,Product,Brand of the product associated with the event.,Array,,,False,UDO Variable,product_brand,product_brand,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-11
product_category,Product Category,Product,Product,Category used to classify the product associated with the event.,Array,,,False,UDO Variable,product_category,product_category,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-11
product_variant,Product Variant,Product,Product,Variant or option of the product associated with the event.,Array,,,False,UDO Variable,product_variant,product_variant,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_capacity,Product Capacity,Product,Product,"Capacity, size or allowance associated with the product.",Array,,,False,UDO Variable,product_capacity,product_capacity,Yes,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-11
product_target_segment,Product Target Segment,Product,Product,Customer segment targeted by the product.,Array,,,False,UDO Variable,product_target_segment,product_target_segment,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_quantity,Product Quantity,Product,Product,Quantity of the product associated with the event or transaction.,Array,,,False,UDO Variable,product_quantity,product_quantity,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_revenue,Product Revenue,Product,Product,Revenue amount associated with the product.,Array,,,False,UDO Variable,product_revenue,product_revenue,No,No,,Website / App,Digital Analytics,Draft,High,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_plan_data,Product Plan Data,Product,Product,Data allowance included with the product plan.,Array,,,False,UDO Variable,product_plan_data,product_plan_data,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_plan_minutes,Product Plan Minutes,Product,Product,Voice-minute allowance included with the product plan.,Array,,,False,UDO Variable,product_plan_minutes,product_plan_minutes,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_plan_sms,Product Plan SMS,Product,Product,SMS allowance included with the product plan.,Array,,,False,UDO Variable,product_plan_sms,product_plan_sms,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_plan_duration,Product Plan Duration,Product,Product,Validity or duration of the product plan.,Array,,,False,UDO Variable,product_plan_duration,product_plan_duration,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_network_plan,Product Network Plan,Product,Product,Network or tariff plan associated with the product.,Array,,,False,UDO Variable,product_network_plan,product_network_plan,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_package_name,Product Package Name,Product,Product,Package or bundle name associated with the product.,Array,,,False,UDO Variable,product_package_name,product_package_name,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_gallery_position,Product Gallery Position,Product,Product,Position at which the product appeared in a product gallery or listing.,Array,,,False,UDO Variable,product_gallery_position,product_gallery_position,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
product_stock_available,Product Stock Available,Product,Product,Indicates whether the product was available in stock when the event occurred.,Array,,,False,UDO Variable,product_stock_available,product_stock_available,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Array field; related array variables should preserve the same item index.,2026-09-07,2026-09-07
transaction_id,Transaction ID,Transaction,Transaction,Unique identifier for the transaction associated with the analytics event.,String,,,False,UDO Variable,transaction_id,transaction_id,No,No,,Website / App,Digital Analytics,Draft,High,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
transaction_payment_type,Transaction Payment Type,Transaction,Transaction,Payment type used for the transaction.,String,,,False,UDO Variable,transaction_payment_type,transaction_payment_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_customer_type,Visitor Customer Type,Visitor,Visitor,"Customer classification associated with the visitor, such as prepaid, postpaid or another defined customer segment.",String,,,False,UDO Variable,visitor_customer_type,visitor_customer_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_login_status,Visitor Login Status,Visitor,Visitor,Indicates whether the visitor is logged in or logged out when the event occurs.,String,,,False,UDO Variable,visitor_login_status,visitor_login_status,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_login_type,Visitor Login Type,Visitor,Visitor,Method or authentication type used by the visitor to log in.,String,,,False,UDO Variable,visitor_login_type,visitor_login_type,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,,2026-09-07,2026-09-07
visitor_recency,Visitor Recency,Visitor,Visitor,Recency band showing how long it has been since the visitor last used the app or website.,String,Less than 7 days,First visit | Less than 1 day | Less than 7 days | Less than 30 days | 30 days or more,False,UDO Variable,visitor_recency,visitor_recency,No,No,,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Categorical recency band based on the customer's previous app or website visit.,2026-09-07,2026-09-07
hashed_msisdn,Hashed MSISDN,Visitor,Visitor,Hashed MSISDN used to identify a customer without storing the raw mobile number.,String,,,False,UDO Variable,hashed_msisdn,hashed_msisdn,No,Yes,Pseudonymous / Personal Data,Website / App,Digital Analytics,Draft,Medium,Global / All Journeys,1.0,,Store hashed value only; never send the raw identifier.,2026-09-07,2026-09-07
